RANK	NAME	TEAM	GP	MPG	ORPM	DRPM	RPM	WINS	RAPM	PIMP	RAPTOR	PREDATOR
1	"Paul George, SG"	OKC	77	36.9	4.55	3.08	7.63	19.86	6.08	6.33	9.53	9.96
2	"James Harden, SG"	HOU	78	36.8	7.4	0.02	7.42	18.54	3.24	5.58	10.72	12.57
3	"Stephen Curry, PG"	GS	69	33.8	5.99	0.85	6.84	15.24	5.43	7.34	7.79	8.7
4	"Giannis Antetokounmpo, PF"	MIL	72	32.8	3.16	3.53	6.69	15.22	4.31	7.66	6.81	7.08
5	"Nikola Jokic, C"	DEN	80	31.3	3.89	2.59	6.48	14.91	2.14	4.41	8.7	9.02
6	"Joel Embiid, C"	PHI	64	33.7	2.68	3.72	6.4	12.9	4.11	6.62	7.53	7.15
7	"Anthony Davis, PF"	NO	56	33	2.54	3.2	5.74	10.81	2.18	5.83	7.38	7.32
8	"Nikola Vucevic, C"	ORL	80	31.4	1.9	3.59	5.49	13.67	2.76	4.2	4.8	4.93
9	"LeBron James, SF"	LAL	55	35.2	3.61	1.83	5.44	11.04	3.32	4.39	5.58	4.3
10	"Damian Lillard, PG"	POR	80	35.5	5.67	-0.59	5.08	14.52	3.38	4.9	5.6	6.12
11	"Kevin Durant, SF"	GS	78	34.6	4.36	0.6	4.96	14.1	5.78	5.79	5.06	4.97
12	"Chris Paul, PG"	HOU	58	32	2.49	2.27	4.76	9.17	2.27	3.23	4.63	6.44
13	"Danny Green, SG"	TOR	80	27.7	2.66	2.07	4.73	11.23	5.84	3.97	4.06	4.91
14	"Jimmy Butler, SF"	MIN/PHI	65	33.6	2.55	2.16	4.71	10.97	2.11	2.45	5.62	5.56
15	"Kyle Lowry, PG"	TOR	65	34	2.83	1.82	4.65	10.97	3.49	3.84	5.6	6.95
16	"Rudy Gobert, C"	UTAH	81	31.8	0.29	4.35	4.64	13.1	2.42	4.54	5.43	6.15
17	"Jrue Holiday, SG"	NO	67	35.9	3.38	1.23	4.61	12.28	4.76	3.96	5.57	5.46
18	"Al Horford, PF"	BOS	68	29	1.77	2.66	4.43	9.51	3.07	3.05	3.77	4.17
19	"Paul Millsap, PF"	DEN	70	27.1	1.57	2.74	4.31	8.77	4.36	2.9	3.87	3.93
20	"Kyrie Irving, PG"	BOS	67	33	3.77	0.46	4.23	10.34	2.66	2.97	5.69	6.96
