Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2012,NBA,1,1,NOH,Anthony Davis\davisan02,19.114,F-C,us,University of Kentucky,2013,2018,405,34.8,23.4,10.3,1.9,1.3,2.4,.517,.531,.307,.796,61.4,.209
2,2012,NBA,1,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,18.280,F,us,University of Kentucky,2013,2018,353,26.7,9.2,5.9,1.2,0.7,0.7,.477,.481,.194,.707,18.6,.095
3,2012,NBA,1,3,WAS,Bradley Beal\bealbr01,19.005,G,us,University of Florida,2013,2018,401,33.8,18.6,3.7,3.4,1.1,0.3,.446,.474,.393,.795,28.4,.101
4,2012,NBA,1,4,CLE,Dion Waiters\waitedi01,20.206,G,us,Syracuse University,2013,2018,365,28.7,13.3,2.7,2.8,1.0,0.3,.412,.441,.341,.701,7.5,.034
5,2012,NBA,1,5,SAC,Thomas Robinson\robinth01,21.109,F,us,University of Kansas,2013,2017,313,13.4,4.9,4.8,0.6,0.5,0.4,.470,.472,.000,.505,4.6,.053
6,2012,NBA,1,6,POR,Damian Lillard\lillada01,21.354,G,us,Weber State University,2013,2018,465,36.4,23.1,4.1,6.2,0.9,0.3,.432,.476,.369,.884,57.4,.163
7,2012,NBA,1,7,GSW,Harrison Barnes\barneha02,20.034,F,us,University of North Carolina,2013,2018,460,30.3,13.1,4.9,1.6,0.7,0.2,.452,.481,.369,.789,26.3,.091
8,2012,NBA,1,8,TOR,Terrence Ross\rosste01,21.149,F-G,us,University of Washington,2013,2018,409,23.9,9.6,2.6,1.0,0.8,0.3,.422,.476,.371,.797,15.0,.074
9,2012,NBA,1,9,DET,Andre Drummond\drumman01,18.327,C,us,University of Connecticut,2013,2018,460,30.3,13.6,13.4,1.1,1.3,1.5,.545,.547,.185,.422,46.2,.159
10,2012,NBA,1,10,NOH,Austin Rivers\riverau01,19.336,G,us,Duke University,2013,2018,404,24.2,9.4,2.0,2.4,0.7,0.2,.421,.453,.356,.649,8.0,.040
11,2012,NBA,1,11,POR,Meyers Leonard\leoname01,20.127,C-F,us,University of Illinois at Urbana-Champaign,2013,2018,328,15.8,5.5,3.7,0.8,0.2,0.3,.467,.528,.373,.824,10.3,.095
12,2012,NBA,1,12,HOU,Jeremy Lamb\lambje01,20.034,G-F,us,University of Connecticut,2013,2018,352,18.7,9.1,3.3,1.4,0.6,0.3,.444,.503,.335,.836,15.3,.112
13,2012,NBA,1,13,PHO,Kendall Marshall\marshke01,20.319,G,us,University of North Carolina,2013,2016,160,19.3,5.0,1.6,4.9,0.7,0.1,.399,.422,.370,.611,1.0,.015
14,2012,NBA,1,14,MIL,John Henson\hensojo01,21.188,C-F,us,University of North Carolina,2013,2018,386,20.3,7.9,5.5,1.1,0.5,1.5,.541,.543,.077,.578,18.4,.113
15,2012,NBA,1,15,PHI,Maurice Harkless\harklma01,19.053,F-G,us,St. John's University,2013,2018,415,23.0,7.3,3.6,0.9,1.0,0.6,.474,.538,.330,.607,15.8,.080
16,2012,NBA,1,16,HOU,Royce White\whitero03,21.085,F,us,Iowa State University,2014,2014,3,3.0,0.0,0.0,0.0,0.0,0.0,.000,.000,,,0.0,-0.121
17,2012,NBA,1,17,DAL,Tyler Zeller\zellety01,22.168,F-C,us,University of North Carolina,2013,2018,401,17.6,7.0,4.4,0.9,0.3,0.6,.506,.509,.294,.763,16.3,.111
18,2012,NBA,1,18,HOU,Terrence Jones\joneste01,20.176,F,us,University of Kentucky,2013,2017,232,24.0,10.5,5.7,1.0,0.6,1.2,.501,.539,.299,.622,14.8,.128
19,2012,NBA,1,19,ORL,Andrew Nicholson\nichoan01,22.208,F,ca,St. Bonaventure University,2013,2017,285,14.3,6.0,3.0,0.4,0.3,0.3,.467,.498,.321,.773,3.8,.045
