TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG,EFG,FTFREQ,TOVFREQ,SFFREQ,ANDONEFREQ,SCOREFREQ,PERCENTILE
Houston Rockets,82,22.4,20.4,1.06,23.7,7.3,18.4,39.8,50.1,13.5,7.1,12.8,2.8,43.0,100
Milwaukee Bucks,82,9.6,8.4,0.98,9.4,3.5,7.8,45.2,50.1,11.2,9.8,10.5,2.5,45.2,93.1
Brooklyn Nets,82,9.3,8.1,0.96,8.9,3.2,7.6,42.0,46.9,13.1,7.8,12.2,3.2,44.3,89.7
Oklahoma City Thunder,81,10.5,8.9,0.83,8.8,3.2,8.8,36.5,40.6,11.1,7.4,10.2,2.0,39.3,31.0
Los Angeles Lakers,82,9.4,8.1,0.91,8.5,3.3,7.7,42.2,46.1,11.9,8.2,10.5,2.6,42.7,72.4
Toronto Raptors,82,7.7,6.9,0.94,7.2,2.8,6.5,42.8,45.2,11.7,7.3,10.8,3.2,44.1,82.8
San Antonio Spurs,82,7.4,6.8,0.95,7.1,2.7,5.9,46.6,47.2,15.6,9.4,13.8,4.1,48.1,86.2
Cleveland Cavaliers,82,8.8,8.1,0.80,7.0,2.7,7.4,36.2,39.2,9.2,7.9,8.2,1.7,37.9,17.2
Golden State Warriors,82,7.1,6.4,0.98,7.0,2.6,6.0,44.0,47.9,11.3,7.3,8.7,2.4,45.1,96.6
Portland Trail Blazers,82,7.7,6.8,0.90,7.0,2.5,6.5,38.3,42.2,11.4,6.3,9.1,2.1,41.6,69.0
New Orleans Pelicans,82,8.0,6.9,0.86,6.9,2.7,6.7,40.9,43.2,10.8,9.1,10.2,2.9,41.2,48.3
LA Clippers,82,7.2,6.4,0.93,6.8,2.3,5.9,40.0,43.0,14.6,6.9,13.0,2.4,44.6,79.3
Sacramento Kings,82,8.0,6.9,0.83,6.7,2.5,6.6,37.9,40.9,12.3,8.4,11.1,3.0,39.4,24.1
Chicago Bulls,82,8.0,7.3,0.82,6.5,2.5,6.5,37.9,40.6,11.2,10.5,10.0,2.4,39.1,20.7
Washington Wizards,82,7.8,6.8,0.84,6.5,2.5,6.0,41.1,43.8,11.6,12.9,10.8,2.4,40.7,34.5
Minnesota Timberwolves,82,7.7,6.7,0.84,6.5,2.4,6.3,38.2,40.8,12.2,8.7,11.4,2.5,40.1,37.9
Charlotte Hornets,82,6.9,6.2,0.91,6.3,2.3,5.8,39.2,43.7,12.9,6.5,12.1,3.3,41.5,75.9
Boston Celtics,82,7.8,7.0,0.79,6.2,2.5,6.5,37.8,40.7,7.4,10.0,6.3,1.6,37.2,6.9
Dallas Mavericks,82,6.8,6.1,0.85,5.8,2.0,5.4,37.1,43.4,11.6,9.5,10.0,0.9,38.7,41.4
Phoenix Suns,82,6.5,5.8,0.87,5.7,1.9,5.1,37.4,41.2,14.7,8.4,12.3,1.9,41.8,58.6
Detroit Pistons,82,6.5,5.9,0.87,5.7,2.0,5.5,36.0,42.1,11.0,7.3,9.9,2.0,38.7,55.2
Memphis Grizzlies,82,6.2,5.8,0.86,5.4,2.0,5.0,39.1,42.5,12.4,9.6,10.2,3.3,40.5,51.7
New York Knicks,82,6.3,5.6,0.76,4.8,1.7,5.1,33.9,37.1,11.8,9.3,10.4,1.9,36.1,0.0
Indiana Pacers,82,5.7,5.2,0.79,4.5,1.6,4.7,34.9,38.8,10.6,7.9,9.4,1.1,37.9,10.3
Philadelphia 76ers,82,5.0,4.3,0.88,4.4,1.6,3.9,41.1,43.9,14.8,8.9,13.8,2.7,43.8,62.1
Denver Nuggets,82,5.3,4.8,0.80,4.3,1.6,4.5,35.1,39.4,10.5,7.8,9.2,2.5,37.1,13.8
Orlando Magic,82,4.6,4.2,0.90,4.2,1.6,3.8,41.8,45.5,11.0,10.2,8.7,2.9,42.0,65.5
Miami Heat,82,5.1,4.6,0.78,3.9,1.5,4.3,34.3,39.0,8.4,7.9,7.2,1.0,35.7,3.4
Atlanta Hawks,81,4.4,3.7,0.85,3.8,1.2,3.4,37.1,41.5,14.0,11.8,10.4,2.0,39.5,44.8
Utah Jazz,82,3.6,3.2,0.83,3.0,1.0,2.9,34.9,40.6,10.8,10.5,9.1,0.7,37.5,27.6
