LA Clippers	82	10.1	9.5	0.92	9.3	3.4	8.5	40.1	43.2	12.6	5.8	10.5	2.2	43.6	96.6
Houston Rockets	82	10.5	9.4	0.87	9.1	3.0	8.1	36.6	42.3	14.2	10.3	13.1	2.2	39.6	65.5
New York Knicks	82	9.9	9.3	0.92	9.0	3.4	8.1	41.8	43.9	13.5	7.2	12.1	2.6	44.9	93.1
Los Angeles Lakers	82	11.5	10.6	0.77	8.9	3.0	9.4	32.3	35.2	12.2	7.8	11.9	2.0	36.3	13.8
Cleveland Cavaliers	82	9.4	8.9	0.85	8.0	3.0	8.0	38.2	40.9	11.4	6.5	9.7	2.3	40.8	44.8
Oklahoma City Thunder	82	9.2	8.2	0.86	7.9	2.9	7.3	39.7	43.6	11.0	11.1	9.8	1.3	40.8	55.2
Portland Trail Blazers	82	9.0	8.2	0.88	7.9	2.8	7.1	38.9	43.0	12.6	9.2	10.6	1.8	41.2	72.4
Milwaukee Bucks	82	9.0	8.5	0.86	7.8	2.8	7.0	40.2	42.1	15.7	10.1	13.1	3.2	42.9	51.7
Toronto Raptors	82	8.5	8.1	0.87	7.4	2.5	6.6	38.5	40.2	16.3	8.4	15.3	2.0	43.2	69.0
Memphis Grizzlies	82	8.2	7.7	0.86	7.1	2.8	6.6	41.5	42.7	11.3	9.8	10.9	2.4	42.3	58.6
Philadelphia 76ers	82	9.3	8.5	0.74	6.9	2.5	7.0	36.0	38.0	12.7	14.1	11.5	2.1	36.5	3.4
Minnesota Timberwolves	82	7.6	7.1	0.89	6.7	2.4	6.0	39.5	41.9	15.6	8.1	12.4	2.3	43.2	82.8
Sacramento Kings	82	8.5	7.6	0.76	6.5	2.4	6.7	36.4	38.0	12.6	12.1	11.3	2.9	37.4	10.3
Golden State Warriors	82	7.0	6.3	0.93	6.5	2.5	5.7	43.3	47.1	11.5	9.2	11.0	2.3	44.0	100
New Orleans Pelicans	82	7.9	7.3	0.80	6.3	2.3	6.4	35.4	38.0	12.5	8.8	10.8	2.3	38.2	31.0
Detroit Pistons	82	7.8	7.0	0.78	6.1	2.2	6.1	35.6	37.9	12.1	10.4	9.9	1.6	38.1	20.7
Brooklyn Nets	82	7.4	6.8	0.82	6.0	2.3	6.1	38.1	41.2	9.3	9.5	8.8	1.5	38.6	41.4
Miami Heat	82	7.1	6.7	0.85	6.0	2.4	5.9	40.7	42.3	9.3	8.3	8.8	1.4	41.3	48.3
Utah Jazz	82	6.6	6.3	0.91	6.0	2.2	5.1	42.7	46.7	12.8	11.2	11.0	1.9	44.2	89.7
Dallas Mavericks	82	6.7	6.3	0.89	5.9	2.1	5.3	40.3	42.9	12.4	9.1	11.2	1.5	42.4	79.3
Chicago Bulls	82	7.0	6.4	0.82	5.7	2.3	5.6	40.1	41.1	10.9	10.4	9.5	1.2	41.2	37.9
Phoenix Suns	82	7.2	6.4	0.78	5.6	2.0	5.7	34.9	37.9	12.4	9.7	10.0	1.9	37.2	24.1
Indiana Pacers	82	7.2	6.6	0.78	5.6	2.1	5.7	36.0	38.2	10.9	11.1	9.0	1.9	37.4	17.2
Orlando Magic	82	5.8	5.3	0.88	5.1	1.9	4.7	40.6	43.4	12.0	9.0	10.5	2.7	42.0	75.9
San Antonio Spurs	82	5.3	5.1	0.91	4.8	1.9	4.3	44.0	45.2	11.9	9.4	10.1	1.8	45.3	86.2
Denver Nuggets	82	6.8	6.2	0.71	4.8	1.7	5.6	30.3	32.4	11.3	8.6	9.1	2.0	34.2	0.0
Atlanta Hawks	82	6.0	5.6	0.80	4.8	1.8	4.5	39.4	41.4	12.6	13.8	11.4	2.4	39.8	34.5
Washington Wizards	82	5.4	4.9	0.86	4.6	1.7	4.2	40.3	43.2	13.4	11.1	12.5	3.6	40.8	62.1
Boston Celtics	82	5.8	5.2	0.78	4.6	1.6	4.7	34.6	36.6	12.5	9.2	10.6	1.9	38.0	27.6
Charlotte Hornets	82	5.6	5.2	0.75	4.2	1.5	4.5	33.8	36.9	11.0	9.9	9.2	2.0	35.7	6.9
