TEAM	GP	POSS	FREQ	PPP	PTS	FGM	FGA	FG%	EFG%	FTFREQ	TOVFREQ	SFFREQ	ANDONEFREQ	SCOREFREQ	PERCENTILE
Indiana Pacers	82	11.0	10.1	1.03	11.3	4.7	9.4	49.5	52.8	10.4	7.3	10.1	3.2	49.0	10.3
LA Clippers	82	7.9	6.9	1.21	9.5	3.8	6.3	60.1	63.5	15.7	7.9	14.7	4.0	59.1	96.6
Chicago Bulls	82	8.4	7.7	1.10	9.3	3.7	7.4	49.5	54.6	9.5	5.6	9.0	2.7	50.1	48.3
Atlanta Hawks	81	7.8	6.6	1.18	9.2	3.5	6.4	55.3	60.1	16.6	5.2	16.6	3.8	56.2	89.7
Boston Celtics	82	7.5	6.7	1.18	8.9	3.5	6.6	53.6	61.0	7.8	6.2	7.8	2.3	52.7	86.2
Toronto Raptors	82	8.1	7.3	1.07	8.7	3.5	6.7	52.6	54.8	11.8	7.3	11.1	1.6	53.0	34.5
Utah Jazz	82	7.2	6.4	1.22	8.7	3.3	5.4	61.8	62.9	22.6	7.0	21.4	4.9	62.1	100
Minnesota Timberwolves	82	7.4	6.4	1.18	8.7	3.3	6.3	53.0	61.3	9.6	7.1	9.0	2.3	52.1	82.8
Memphis Grizzlies	82	7.9	7.3	1.03	8.1	3.1	6.6	47.3	51.9	12.2	6.5	11.2	2.3	48.8	13.8
Miami Heat	82	6.9	6.2	1.16	8.0	3.3	5.7	57.7	61.3	14.4	7.9	13.7	5.3	55.5	75.9
Brooklyn Nets	82	7.5	6.6	1.05	7.9	3.1	5.7	54.3	55.9	15.9	10.0	15.2	1.9	53.6	24.1
Charlotte Hornets	82	7.4	6.7	1.04	7.8	2.8	5.9	47.9	53.5	15.4	9.3	14.9	3.4	48.9	17.2
Houston Rockets	82	7.0	6.3	1.11	7.7	3.2	5.8	54.8	58.5	11.8	6.8	11.4	2.5	54.0	62.1
Sacramento Kings	82	7.1	6.2	1.08	7.7	3.3	6.1	53.4	56.2	10.6	5.8	9.6	2.4	53.1	37.9
Los Angeles Lakers	82	6.8	5.9	1.13	7.6	3.0	5.5	54.9	59.0	13.8	8.5	13.5	4.1	54.0	69.0
Portland Trail Blazers	82	6.3	5.6	1.17	7.4	2.8	5.2	54.4	58.3	16.2	5.6	15.8	3.3	56.8	79.3
Washington Wizards	82	6.8	6.0	1.08	7.4	2.8	5.8	48.4	55.2	10.9	6.6	10.4	2.7	48.9	41.4
Dallas Mavericks	82	6.1	5.5	1.21	7.4	2.8	5.0	56.5	61.1	15.8	6.4	15.0	4.2	56.9	93.1
New Orleans Pelicans	82	6.5	5.5	1.14	7.4	3.0	5.5	54.6	57.0	13.2	5.3	12.8	3.8	55.3	72.4
Oklahoma City Thunder	81	7.2	6.1	1.02	7.4	3.1	6.4	48.3	52.0	9.9	4.3	9.7	2.0	49.4	3.4
Orlando Magic	82	6.5	5.9	1.11	7.2	2.9	5.6	51.3	55.7	10.3	6.0	10.3	2.8	51.9	58.6
Phoenix Suns	82	6.3	5.6	1.09	6.9	2.9	5.3	54.3	55.5	12.8	6.6	12.2	2.7	54.5	44.8
Denver Nuggets	82	6.6	5.9	1.03	6.8	2.8	5.8	48.2	53.7	7.5	7.5	7.2	2.0	46.9	6.9
San Antonio Spurs	82	6.2	5.6	1.06	6.5	2.7	5.2	51.5	53.3	10.5	6.7	10.3	2.2	51.7	27.6
New York Knicks	82	5.8	5.1	1.10	6.4	2.5	4.9	50.6	56.1	11.9	5.7	10.8	3.0	51.5	55.2
Milwaukee Bucks	82	5.6	4.9	1.13	6.3	2.5	4.8	51.9	57.1	12.6	5.6	11.7	3.9	52.1	65.5
Detroit Pistons	82	5.4	4.8	1.05	5.6	2.1	4.3	48.9	54.3	14.3	8.4	13.8	2.0	49.2	20.7
Cleveland Cavaliers	82	5.2	4.8	1.06	5.5	2.3	4.4	51.4	54.7	10.0	7.2	9.1	1.9	51.2	31.0
Philadelphia 76ers	82	4.0	3.5	1.10	4.4	1.7	3.4	48.9	56.6	9.4	7.9	8.2	2.4	48.6	51.7
Golden State Warriors	82	4.1	3.7	0.93	3.9	1.4	3.3	42.1	47.4	12.1	9.1	11.2	1.8	43.2	0.0
