Washington Wizards	82	19.7	18.1	0.78	15.4	6.4	15.5	41.1	43.2	7.4	15.7	6.6	1.5	37.7	31.0
Utah Jazz	82	18.9	18.0	0.79	14.8	5.4	13.9	39.2	42.3	10.7	17.3	8.7	1.7	37.5	44.8
Toronto Raptors	82	21.7	20.7	0.90	19.6	7.2	16.4	44.1	46.3	13.6	13.1	12.0	2.0	44.4	96.6
San Antonio Spurs	82	14.4	13.9	0.86	12.4	5.1	11.0	46.2	47.9	8.4	16.5	6.1	1.4	42.0	86.2
Sacramento Kings	82	13.6	12.0	0.78	10.6	4.4	10.0	44.0	46.6	7.2	20.4	6.0	1.1	37.8	41.4
Portland Trail Blazers	82	22.3	20.4	0.88	19.5	7.5	17.8	42.0	46.5	8.5	13.4	7.3	1.8	40.2	89.7
Phoenix Suns	82	18.5	16.5	0.77	14.2	5.3	13.5	39.5	43.3	9.2	19.1	7.6	1.4	36.1	24.1
Philadelphia 76ers	82	15.1	13.8	0.68	10.2	4.2	11.2	37.3	40.2	6.1	21.0	5.4	1.2	32.1	0.0
Orlando Magic	82	17.8	16.3	0.74	13.2	5.1	13.1	39.0	41.0	9.7	18.3	8.2	1.6	36.4	10.3
Oklahoma City Thunder	82	19.2	17.0	0.85	16.2	5.9	13.8	42.8	46.8	11.0	18.9	9.7	2.1	39.5	72.4
New York Knicks	82	11.4	10.8	0.78	8.9	3.5	8.9	39.0	41.5	8.3	14.9	7.2	1.5	37.0	27.6
New Orleans Pelicans	82	22.2	20.5	0.85	18.8	7.4	17.7	41.5	45.4	8.0	13.8	6.6	1.6	39.4	79.3
Minnesota Timberwolves	82	16.1	15.0	0.74	11.9	4.3	11.6	37.2	38.9	11.8	17.2	9.8	1.6	36.8	13.8
Milwaukee Bucks	82	13.3	12.5	0.74	9.8	4.1	9.8	41.8	43.1	7.3	20.5	6.5	1.6	36.3	6.9
Miami Heat	82	17.8	17.0	0.82	14.6	5.9	13.1	44.9	45.7	9.9	17.9	8.7	1.5	41.1	58.6
Memphis Grizzlies	82	15.6	14.7	0.83	13.0	4.7	11.7	40.2	42.8	12.3	14.1	10.3	1.7	40.6	65.5
Los Angeles Lakers	82	23.8	22.0	0.85	20.1	7.2	17.8	40.6	44.7	11.3	15.1	10.6	1.7	39.7	75.9
LA Clippers	82	19.5	18.4	0.88	17.1	6.7	15.3	44.0	47.4	8.3	14.5	5.8	1.3	41.3	93.1
Indiana Pacers	82	19.3	17.6	0.78	15.1	5.9	15.1	38.7	41.9	8.2	14.7	6.8	1.4	36.9	37.9
Houston Rockets	82	14.8	13.3	0.83	12.4	4.2	10.2	41.1	45.0	12.2	20.7	10.8	1.5	38.8	69.0
Golden State Warriors	82	11.7	10.5	0.98	11.5	4.2	9.2	45.8	54.5	8.1	15.6	7.4	2.2	41.7	100
Detroit Pistons	82	22.4	20.3	0.82	18.3	7.4	17.7	41.7	44.7	7.9	15.1	7.2	2.0	38.6	55.2
Denver Nuggets	82	18.9	17.2	0.75	14.2	5.3	13.7	38.9	42.6	9.2	19.8	8.1	1.5	35.4	20.7
Dallas Mavericks	82	18.9	17.8	0.80	15.1	6.0	14.5	41.1	44.4	8.6	16.6	7.1	1.8	37.8	48.3
Cleveland Cavaliers	82	18.9	17.9	0.82	15.5	6.4	14.9	42.6	45.9	6.5	16.1	5.9	1.4	38.6	51.7
Chicago Bulls	82	20.1	18.3	0.83	16.6	6.6	16.0	41.3	43.6	9.0	13.3	8.1	1.9	39.6	62.1
Charlotte Hornets	82	21.1	19.8	0.86	18.1	6.7	16.0	41.7	45.8	10.6	15.1	8.5	1.7	40.2	82.8
Brooklyn Nets	82	16.3	15.2	0.75	12.3	4.7	11.9	39.8	41.9	9.0	19.3	7.1	1.3	36.4	17.2
Boston Celtics	82	16.1	14.3	0.78	12.6	4.6	12.0	38.8	41.9	10.1	17.0	7.7	1.4	37.2	34.5
Atlanta Hawks	82	18.0	16.7	0.73	13.2	5.0	13.2	37.9	40.3	9.3	18.7	8.1	1.6	35.4	3.4
