TEAM,TOT_FREQ,BHANDLER_POS,BHANDLER_PPP,SCREENER_PPP,SCREENER_POS,PPP
ATL,26.1,23,0.8,1.18,7.8,0.90
BOS,21.3,16.3,0.91,1.18,7.5,1.00
BKN,27.2,23.7,0.89,1.05,7.5,0.93
CHA,29.2,25,0.93,1.04,7.4,0.96
CHI,27.7,22,0.85,1.1,8.4,0.92
CLE,26.1,23.3,0.86,1.06,5.2,0.90
DAL,24.6,21.3,0.86,1.21,6.1,0.94
DEN,20.2,16,0.88,1.03,6.6,0.92
DET,21.9,19,0.88,1.05,5.4,0.92
GSW,14.5,12.1,0.99,0.93,4.1,0.97
HOU,21,16.2,0.9,1.11,7,0.96
IND,25.8,17.2,0.81,1.03,11,0.90
LAC,29.7,25.8,0.9,1.21,7.9,0.97
LAL,22.9,19.7,0.83,1.13,6.8,0.91
MEM,23.7,17.6,0.85,1.03,7.9,0.91
MIA,25,21,0.75,1.16,6.9,0.85
MIL,17.1,13.9,0.91,1.13,5.6,0.97
MIN,23.3,19.4,0.84,1.18,7.4,0.93
NO,18.4,15,0.81,1.14,6.5,0.91
NYK,26.5,24,0.88,1.1,5.8,0.92
OKC,24,21.1,0.85,1.02,7.2,0.89
ORL,24.4,20.3,0.83,1.11,6.5,0.90
PHI,15,13.1,0.91,1.1,4,0.95
PHX,26.5,23.4,0.83,1.09,6.3,0.89
POR,24.5,21.5,0.98,1.17,6.3,1.02
SAC,22.6,19,0.84,1.08,7.1,0.91
SAS,24.1,20.2,0.92,1.06,6.2,0.95
TOR,22.3,16.8,0.87,1.07,8.1,0.94
UTA,27.9,24.1,0.86,1.22,7.2,0.94
WAS,21.1,17.2,0.86,1.08,6.8,0.92
