TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG,EFG,FTFREQ,TOVFREQ,SFFREQ,ANDONEFREQ,SCOREFREQ,PERCENTILE
Philadelphia 76ers,47,12.6,11.4,1.01,12.7,4.8,9.4,51.1,51.1,16.9,11.3,13.8,3.0,51.3,100
San Antonio Spurs,46,8.7,7.8,0.98,8.5,3.2,6.8,47.6,47.6,15.5,8.8,12.8,2.0,50.0,86.2
Los Angeles Lakers,46,8.3,7.4,0.95,7.9,3.1,6.2,50.2,50.2,14.1,13.1,11.3,2.4,48.7,75.9
Denver Nuggets,46,8.2,7.4,0.94,7.7,2.8,5.8,49.4,49.4,17.7,15.1,15.3,2.9,48.4,65.5
Milwaukee Bucks,46,7.2,6.3,0.98,7.1,3.1,5.3,58.3,58.3,12.7,17.5,9.9,3.0,50.9,89.7
New York Knicks,47,7.8,6.9,0.88,6.9,2.6,5.6,46.6,46.6,16.6,16.3,13.9,4.9,45.2,34.5
LA Clippers,47,7.4,6.4,0.89,6.6,2.6,5.7,45.5,45.5,14.7,11.8,13.0,4.0,45.0,41.4
Portland Trail Blazers,47,6.2,5.5,0.95,5.9,2.2,4.7,47.9,47.9,14.7,11.3,13.0,1.0,49.0,69.0
Detroit Pistons,48,6.3,5.7,0.91,5.7,2.3,4.4,52.4,52.4,13.6,19.5,11.6,2.6,46.7,51.7
Memphis Grizzlies,46,6.2,5.4,0.89,5.5,2.3,4.7,48.2,48.2,11.1,15.0,10.1,2.1,44.9,37.9
Cleveland Cavaliers,47,5.9,5.3,0.87,5.1,2.0,4.2,47.4,47.4,12.9,16.9,10.8,0.4,45.3,27.6
Phoenix Suns,46,5.6,4.9,0.93,5.2,2.0,4.1,48.9,48.9,14.8,15.6,12.5,3.5,46.7,62.1
Indiana Pacers,47,5.3,4.8,0.92,4.9,2.1,4.0,51.9,51.9,10.5,17.3,9.7,4.0,45.6,58.6
Charlotte Hornets,46,4.8,4.3,1.00,4.7,1.9,3.5,52.8,52.8,16.4,15.1,13.7,5.9,48.4,93.1
Orlando Magic,48,6.1,5.5,0.73,4.4,1.8,4.8,37.9,37.9,8.9,12.0,6.9,1.0,37.5,0.0
Minnesota Timberwolves,47,5.0,4.3,0.89,4.5,1.7,3.5,49.1,49.1,15.7,17.8,11.9,2.5,46.2,44.8
Boston Celtics,45,4.6,4.1,1.00,4.6,1.8,3.5,50.9,50.9,15.8,12.4,12.9,4.3,49.8,96.6
Sacramento Kings,46,5.3,4.8,0.84,4.4,1.6,3.8,41.2,41.2,16.5,13.6,15.3,3.3,43.4,17.2
Golden State Warriors,47,5.0,4.4,0.86,4.3,1.7,3.9,44.3,44.3,12.3,13.1,10.2,3.8,43.2,24.1
Toronto Raptors,46,5.3,4.7,0.82,4.3,1.7,4.0,41.9,41.9,13.6,13.2,11.1,3.3,41.6,10.3
Oklahoma City Thunder,48,4.3,3.9,0.96,4.1,1.4,2.9,48.2,48.2,21.4,11.7,17.5,1.5,51.0,79.3
Miami Heat,46,3.2,2.9,0.97,3.1,1.1,2.1,50.0,50.0,23.8,16.3,18.4,6.8,49.0,82.8
Dallas Mavericks,46,3.7,3.3,0.80,3.0,1.1,3.0,37.4,37.4,15.2,8.8,15.2,5.3,39.2,3.4
New Orleans Pelicans,47,2.9,2.5,0.90,2.6,1.1,2.2,51.0,51.0,11.0,16.9,10.3,2.9,44.9,48.3
Atlanta Hawks,47,2.8,2.4,0.92,2.6,1.0,2.0,52.1,52.1,13.7,17.6,13.0,3.1,46.6,55.2
Houston Rockets,46,2.8,2.4,0.86,2.4,0.9,2.3,41.0,41.0,13.7,9.2,13.7,3.1,42.7,20.7
Chicago Bulls,49,2.6,2.3,0.83,2.2,0.9,2.0,43.3,43.3,11.7,14.1,8.6,1.6,42.2,13.8
Utah Jazz,46,2.3,2.1,0.95,2.2,0.7,1.3,49.2,49.2,23.8,19.0,21.9,1.0,48.6,72.4
Washington Wizards,45,1.9,1.7,0.87,1.7,0.7,1.4,49.2,49.2,12.6,14.9,6.9,0.0,47.1,31.0
Brooklyn Nets,45,0.4,0.3,0.81,0.3,0.1,0.2,30.0,30.0,31.3,6.3,12.5,0.0,43.8,6.9
