,,,,,,,,,,,0-3 ft,3-10 ft,10-16 ft,16ft - 3P,3P,,,,,,,,,,
Atlanta Hawks,,,,,,,,,,,0.616,0.349,0.394,0.429,0.341,,,,,,,,,,0
Boston Celtics,,,,,,,,,,,0.633,0.395,0.417,0.405,0.359,,,,,,,,,,0
Brooklyn Nets,,,,,,,,,,,0.613,0.418,0.391,0.374,0.338,,,,,,,,,,0
Chicago Bulls,,,,,,,,,,,0.6,0.449,0.393,0.377,0.34,,,,,,,,,,0
Charlotte Hornets,,,,,,,,,,,0.61,0.4,0.419,0.38,0.351,,,,,,,,,,1
Cleveland Cavaliers,,,,,,,,,,,0.666,0.362,0.428,0.425,0.384,,,,,,,,,,0
Dallas Mavericks,,,,,,,,,,,0.637,0.444,0.441,0.391,0.355,,,,,,,,,,0
Denver Nuggets,,,,,,,,,,,0.627,0.441,0.386,0.397,0.368,,,,,,,,,,0
Detroit Pistons,,,,,,,,,,,0.646,0.384,0.445,0.416,0.33,,,,,,,,,,1
Golden State Warriors,,,,,,,,,,,0.69,0.408,0.43,0.469,0.383,,,,,,,,,,1
Houston Rockets,,,,,,,,,,,0.667,0.391,0.375,0.374,0.357,,,,,,,,,,0
Indiana Pacers,,,,,,,,,,,0.625,0.464,0.417,0.418,0.376,,,,,,,,,,0
Los Angeles Clippers,,,,,,,,,,,0.661,0.419,0.423,0.439,0.375,,,,,,,,,,2
Los Angeles Lakers,,,,,,,,,,,0.633,0.397,0.379,0.39,0.346,,,,,,,,,,1
Memphis Grizzlies,,,,,,,,,,,0.58,0.416,0.385,0.38,0.354,,,,,,,,,,0
Miami Heat,,,,,,,,,,,0.63,0.412,0.387,0.389,0.365,,,,,,,,,,0
Milwaukee Bucks,,,,,,,,,,,0.644,0.402,0.377,0.387,0.37,,,,,,,,,,0
Minnesota Timberwolves,,,,,,,,,,,0.645,0.437,0.392,0.402,0.349,,,,,,,,,,0
New Orleans Pelicans,,,,,,,,,,,0.627,0.417,0.427,0.38,0.35,,,,,,,,,,0
New York Knicks,,,,,,,,,,,0.591,0.381,0.44,0.419,0.348,,,,,,,,,,0
Oklahoma City Thunder,,,,,,,,,,,0.614,0.418,0.391,0.379,0.327,,,,,,,,,,2
Orlando Magic,,,,,,,,,,,0.616,0.427,0.413,0.39,0.328,,,,,,,,,,0
Philadelphia 76ers,,,,,,,,,,,0.638,0.376,0.384,0.344,0.34,,,,,,,,,,0
Phoenix Suns,,,,,,,,,,,0.629,0.412,0.402,0.374,0.332,,,,,,,,,,0
Portland Trail Blazers,,,,,,,,,,,0.596,0.418,0.441,0.417,0.375,,,,,,,,,,0
Sacramento Kings,,,,,,,,,,,0.642,0.421,0.412,0.402,0.376,,,,,,,,,,0
San Antonio Spurs,,,,,,,,,,,0.644,0.429,0.391,0.431,0.391,,,,,,,,,,0
Toronto Raptors,,,,,,,,,,,0.631,0.45,0.449,0.407,0.363,,,,,,,,,,1
Utah Jazz,,,,,,,,,,,0.651,0.413,0.427,0.363,0.372,,,,,,,,,,1
Washington Wizards,,,,,,,,,,,0.629,0.429,0.426,0.442,0.372,,,,,,,,,,0
League Average,,,,,,,,,,,0.631,0.414,0.412,0.403,0.358,,,,,,,,,,0.3
